listing_id,neighborhood,host_since,superhost,host_acceptance_rate,host_total_listings,room_type,accommodates,bathrooms,bedrooms,beds,min_nights,total_reviews,avg_rating,price
255,Georgetown,5/7/2015,T,1,1,Entire home/apt,1,1 bath,1,1,28,59,4.86,100
256,Shaw,8/2/2015,F,0.78,1,Entire home/apt,2,1.5 baths,1,1,31,119,4.92,224
259,Dupont Circle,8/10/2015,T,1,7,Entire home/apt,2,1 bath,1,1,31,202,4.79,133
260,Georgetown,8/10/2015,T,1,7,Entire home/apt,2,1 bath,,1,31,253,4.76,135
261,Capitol Hill,11/27/2013,T,1,30,Entire home/apt,2,1 bath,1,2,31,53,4.89,178
264,Foggy Bottom,3/5/2015,T,0.73,6,Entire home/apt,6,1 bath,3,6,31,370,4.91,130
266,Foggy Bottom,10/25/2013,F,0.5,4,Entire home/apt,2,1 bath,1,1,31,54,4.91,82
267,Foggy Bottom,6/15/2014,T,0.93,3,Entire home/apt,2,1 bath,1,2,31,3,4.67,157
268,Dupont Circle,11/27/2013,T,1,30,Entire home/apt,2,1 bath,1,1,31,27,4.7,160
269,Union Station,10/5/2014,T,1,1,Entire home/apt,6,1 bath,2,2,3,143,4.86,209
272,Foggy Bottom,9/9/2015,F,,1,Entire home/apt,2,1 bath,1,1,59,168,4.92,112
275,Dupont Circle,4/15/2018,F,,1,Entire home/apt,2,1 bath,1,1,2,338,4.77,153
278,Shaw,10/8/2013,T,1,4,Entire home/apt,6,2 baths,2,2,31,109,4.81,128
282,Foggy Bottom,6/29/2015,T,1,4,Entire home/apt,8,2.5 baths,4,5,3,163,4.95,539
284,Georgetown,9/17/2015,F,,2,Entire home/apt,8,2 baths,4,4,31,10,4.89,90
285,Union Station,7/12/2013,T,1,4,Entire home/apt,2,1 bath,1,2,2,246,4.93,129
287,Georgetown,8/10/2015,T,1,7,Entire home/apt,2,1 bath,,1,31,194,4.82,135
288,Georgetown,8/10/2015,T,1,7,Entire home/apt,2,1 bath,,1,31,228,4.82,140
289,Georgetown,8/10/2015,T,1,7,Entire home/apt,2,1 bath,,1,31,236,4.76,148
290,Dupont Circle,8/10/2015,T,1,7,Entire home/apt,2,1 bath,1,1,3,99,4.8,133
291,Dupont Circle,8/10/2015,T,1,7,Entire home/apt,2,1 bath,1,1,3,177,4.85,138
293,Union Station,10/9/2015,F,,1,Entire home/apt,3,1 bath,,2,182,278,4.75,69
294,Union Station,10/28/2013,F,,1,Entire home/apt,6,2.5 baths,2,2,31,6,5,200
295,Union Station,10/11/2015,F,1,5,,2,1.5 shared baths,,1,2,94,4.96,108
296,Georgetown,5/18/2009,F,0.99,164,Entire home/apt,5,2 baths,3,5,31,64,4.62,188
297,Union Station,10/15/2015,T,0.98,284,Entire home/apt,6,1 bath,2,4,2,242,4.81,249
298,Union Station,10/15/2015,T,0.98,284,Entire home/apt,6,1 bath,2,3,2,245,4.87,219
299,Union Station,10/15/2015,T,0.98,284,Entire home/apt,6,1 bath,2,3,3,214,4.94,486
301,Shaw,8/3/2010,F,0.81,1,Entire home/apt,2,1 bath,1,1,3,112,4.87,125
302,Capitol Hill,10/25/2015,T,0.98,2,Entire home/apt,2,1 bath,1,1,1,206,4.97,148
303,Capitol Hill,6/8/2012,F,0.82,3,Entire home/apt,6,2 baths,3,2,31,92,4.87,388
305,Capitol Hill,4/11/2013,T,0.99,1,Entire home/apt,6,1 bath,2,3,1,559,4.76,209
306,Union Station,9/23/2013,T,0.99,4,Entire home/apt,10,3.5 baths,5,5,4,147,4.95,475
307,Dupont Circle,7/3/2013,T,0.99,2,Entire home/apt,3,1.5 baths,1,1,2,254,4.92,298
308,Capitol Hill,11/1/2015,F,0.94,1,Entire home/apt,4,1 bath,1,3,4,131,4.91,190
309,Union Station,5/18/2015,F,1,1,Entire home/apt,4,1 bath,1,2,2,181,4.74,109
310,Capitol Hill,3/22/2014,T,0.79,4,Entire home/apt,5,1 bath,1,3,14,135,4.86,145
311,Georgetown,1/23/2014,F,0.97,8,Entire home/apt,5,1 bath,2,6,31,104,4.6,85
312,Union Station,11/27/2013,T,1,30,Entire home/apt,4,1 bath,2,2,31,69,4.77,270
313,Dupont Circle,10/15/2015,T,0.98,284,Entire home/apt,4,2 baths,2,2,2,185,4.84,210
315,Foggy Bottom,7/5/2015,F,0.2,9,Entire home/apt,4,1 bath,1,2,31,37,4.7,145
317,Capitol Hill,3/30/2014,T,0.8,1,Entire home/apt,2,1 bath,1,1,31,21,4.95,90
320,Capitol Hill,10/19/2013,F,,4,Entire home/apt,4,1 bath,2,1,31,97,4.84,160
321,Capitol Hill,5/18/2015,F,1,1,Entire home/apt,2,1 bath,1,1,1,6,4.83,141
324,Capitol Hill,1/8/2013,F,,1,Entire home/apt,4,1.5 baths,2,2,31,1,5,310
325,Foggy Bottom,12/3/2015,F,,1,Entire home/apt,3,1 bath,1,1,31,2,0,85
326,Union Station,10/7/2014,T,1,3,Entire home/apt,2,1 bath,,1,2,479,4.9,100
327,Foggy Bottom,6/9/2015,F,,1,Entire home/apt,2,1 bath,1,1,31,2,4,70
330,Georgetown,2/10/2015,F,0.98,2,Entire home/apt,4,1 bath,1,2,2,242,4.96,151
336,Capitol Hill,9/21/2015,F,,2,Entire home/apt,3,1 bath,,2,31,79,4.89,80
337,Shaw,12/25/2014,F,1,3,Entire home/apt,6,2.5 baths,2,2,2,300,4.75,309
339,Shaw,9/4/2012,F,0.78,6,Entire home/apt,4,1 bath,1,2,600,136,4.9,120
341,Dupont Circle,8/1/2015,F,,5,Entire home/apt,2,1 bath,,1,31,51,4.96,95
346,Union Station,1/7/2016,F,0.33,2,Entire home/apt,3,1 bath,1,2,31,13,4.92,155
348,Capitol Hill,7/19/2014,T,1,9,Entire home/apt,4,1 bath,1,2,1,490,4.96,209
349,Union Station,1/12/2016,T,1,1,Entire home/apt,4,1 bath,1,2,3,261,4.97,129
350,Capitol Hill,1/6/2016,T,1,18,Entire home/apt,2,1 bath,,1,31,55,4.96,112
351,Capitol Hill,1/6/2016,T,1,18,,4,1 bath,1,2,31,59,4.78,298
352,Capitol Hill,1/6/2016,T,1,18,Entire home/apt,4,1 bath,1,2,2,74,4.86,214
353,Capitol Hill,10/11/2015,F,1,1,Entire home/apt,4,1 bath,1,1,2,129,4.91,154
354,Union Station,10/11/2015,F,1,5,Entire home/apt,8,2.5 baths,3,3,2,89,4.97,587
355,Capitol Hill,6/15/2014,T,1,3,Entire home/apt,2,1 bath,,1,2,402,4.86,105
358,Union Station,10/11/2015,F,1,5,Private room,2,1.5 shared baths,,1,2,98,4.96,118
359,Capitol Hill,9/28/2014,F,0,2,Entire home/apt,2,1 bath,,1,31,1,5,95
360,Shaw,3/23/2013,F,0.94,2,Entire home/apt,4,1 bath,1,2,1,330,4.92,168
362,Georgetown,9/10/2014,F,1,6,Entire home/apt,2,1 bath,1,1,31,65,4.88,250
363,Capitol Hill,2/7/2016,T,0.99,1,Entire home/apt,4,1 bath,1,2,2,322,4.98,185
365,Foggy Bottom,2/10/2016,F,1,6,Entire home/apt,4,1 bath,1,2,1,478,4.81,146
366,Capitol Hill,2/10/2016,T,0.99,1,Entire home/apt,2,1 bath,,1,3,297,4.95,151
368,Capitol Hill,11/27/2013,T,1,30,Entire home/apt,4,1 bath,1,2,31,55,4.87,240
369,Union Station,6/20/2014,T,1,1,Entire home/apt,2,1 bath,,1,31,116,4.56,65
370,Union Station,10/11/2015,F,1,5,Private room,2,1 private bath,,1,2,38,4.97,138
